Khon5.A1ModJulian         Khon5.CRTBP.X             Khon5.CRTBP.Y             Khon5.CRTBP.Z             Khon5.CRTBP.VX            Khon5.CRTBP.VY            Khon5.CRTBP.VZ            
31440.55680399511         -66670.66679049541        19387.18887806299         -49817.60443860543        -0.0434155980887383       0.1060163513174324        0.1766342652297775        
31440.58805399511         -66788.94233735644        19673.23709477593         -49337.51133244323        -0.04419685605618791      0.1059117077073428        0.179003519899478         
31440.61930399511         -66909.33495049911        19959.00263633389         -48851.04378879811        -0.04498382247646517      0.1058064598564523        0.1813561888856578        
31440.65055399511         -67031.86026610139        20244.48390869167         -48358.24716849498        -0.04577666408953431      0.1057006306173227        0.1836918390429383        
31440.68180399511         -67156.53438103902        20529.67938643604         -47859.1680113624         -0.04657555546408561      0.105594248225145         0.1860100301636788        
31440.71305399511         -67283.37387448308        20814.58762855146         -47353.85405509752        -0.04738067929939054      0.1054873466486395        0.1883103151331258        
31440.74430399511         -67412.39583013655        21099.20729259893         -46842.35425367955        -0.04819222672436928      0.1053799659490577        0.1905922401093559        
31440.77555399511         -67543.61785953639        21383.53715369201         -46324.71879526203        -0.04901039759546716      0.1052721526459514        0.1928553447290062        
31440.80680399511         -67677.05812587145        21667.57612039748         -45800.99911947426        -0.04983540078850882      0.1051639600898207        0.1950991623397506        
31440.83805399511         -67812.73536886917        21951.32325572108         -45271.2479340579         -0.05066745448670594      0.1050554488399524        0.1973232202604255        
31440.86930399511         -67950.66893015718        22234.77779504998         -44735.51923076245        -0.05150678645974365      0.1049466870474105        0.1995270400696249        
31440.90055399511         -68090.8787796657         22517.93916920395         -44193.8683004233         -0.05235363433591218      0.1048377508413018        0.2017101379235362        
31440.93180399511         -68233.38554244781        22800.80702446502         -43646.35174714013        -0.0532082458620677       0.10472872471812          0.2038720249036608        
31440.96305399511         -68378.21052649303        23083.38124772771         -43093.02750147671        -0.05407087915322541      0.1046197019320573        0.2060122073949915        
31440.99430399511         -68525.3757509045         23365.66198889202         -42533.95483259714        -0.05494180292654337      0.1045107848859095        0.2081301874950736        
31441.02555399511         -68674.9039748826         23647.64968685171         -41969.19435925603        -0.055821296720566        0.104402085520479         0.2102254634542788        
31441.05680399511         -68826.81872728061        23929.34509652918         -41398.80805955746        -0.0567096510967155       0.104293725701258         0.2122975301474419        
31441.08805399511         -68981.14433647168        24210.74931441234         -40822.8592793983         -0.05760716781992204      0.1041858376012121        0.214345879576884         
31441.11930399511         -69137.90596098582        24491.86380892226         -40241.41273951088        -0.05851416001915286      0.1040785640771755        0.2163700014066587        
31441.15055399511         -69297.1296202127         24772.69044773057         -39654.53454102203        -0.05943095232237403      0.1039720590391786        0.2183693835276821        
31441.18180399511         -69458.84222577477        25053.23153011719         -39062.29216944444        -0.06035788096741147      0.1038664878098312        0.2203435126532209        
31441.21305399511         -69623.07161281748        25333.48981622952         -38464.75449702051        -0.06129529388317094      0.1037620274729755        0.2222918749439828        
