Orbiter.MoonInertial.X    Orbiter.MoonInertial.Y    Orbiter.MoonInertial.Z    Orbiter.MoonInertial.VX   Orbiter.MoonInertial.VY   Orbiter.MoonInertial.VZ   Luna.MoonInertial.X       Luna.MoonInertial.Y       Luna.MoonInertial.Z       Earth.MoonInertial.X      Earth.MoonInertial.Y      Earth.MoonInertial.Z      Sun.MoonInertial.X        Sun.MoonInertial.Y        Sun.MoonInertial.Z        Orbiter.Propagator1_ForceModel.AccelerationX   Orbiter.Propagator1_ForceModel.AccelerationY   Orbiter.Propagator1_ForceModel.AccelerationZ   Orbiter.ElapsedSecs       
1847.931473943099         -0.2236207240493968       296.920375267975          -0.1873985835629206       -0.000228463980859156     1.603381077130984         0                         0                         0                         -75662.61544271506        327283.7250998064         178768.6810970976         62959035.44938622         126783106.9019383         54994808.87847035         -0.001382353044083306                          8.698365534401824e-08                          -0.0002222029334763108                         1886.831267690286         
1832.981024298409         -0.2381077687605284       399.835634682473          -0.275900561425601        -0.0002200973370558856    1.586609504078415         0                         0                         0                         -75727.53216823358        327269.3930950613         178762.5202968117         62957287.81284549         126783818.5024652         54995117.40920954         -0.001361379837735878                          1.013882944079552e-07                          -0.0002971008947881478                         1951.338857284281         
1812.683383357129         -0.2517622141749598       500.1520167078415         -0.3617585182912217       -0.0002085134500678376    1.565393566442763         0                         0                         0                         -75791.57051571751        327255.2447953916         178756.4373219825         62955508.26341959         126784544.4089548         54995432.13978264         -0.001336932421477723                          1.455841103937354e-07                          -0.0003690598702092647                         2014.975922217127         
1787.514150959105         -0.264342776441481        597.1054131630808         -0.4443573730183888       -0.0001940141920340199    1.540199365238306         0                         0                         0                         -75854.38549812995        327241.3569179428         178750.4652122634         62953753.07821582         126785260.5693496         54995742.64341223         -0.001309524222191794                          2.046408161444934e-07                          -0.0004376407895353458                         2077.399526245426         
1757.269367890811         -0.2759057922521606       692.2818311870215         -0.5250840522837131       -0.0001761908683396152    1.510817576948139         0                         0                         0                         -75917.15020331835        327227.470400273          178744.4925980252         62952030.20470445         126785962.7913532         54996047.10367211         -0.001278858943511262                          2.664874209842384e-07                          -0.0005040528627776718                         2139.775382343214         
1721.564289001588         -0.2863902805838734       786.6867478408676         -0.6048086566976291       -0.0001553465767346052    1.476905958720406         0                         0                         0                         -75980.7225412144         327213.395253609          178738.4377448601         62950307.7840022          126786664.258324          54996351.23617028         -0.001244701501741263                          2.73984022882266e-07                           -0.0005690018302891507                         2202.956127771176         
1679.764202195322         -0.2957191113964655       881.1957197170705         -0.6842757896296109       -0.0001321171970347368    1.437919469056248         0                         0                         0                         -76045.95364367722        327198.9424480343         178732.2192704324         62948562.28943101         126787374.5618849         54996659.19943555         -0.001206634402074379                          2.129099132900567e-07                          -0.0006331995622488489                         2267.787786782719         
1631.672267989241         -0.3036316255456768       975.2797776690568         -0.7630437712481005       -0.0001055144021947785    1.393740261587165         0                         0                         0                         -76112.79561063298        327184.1218030212         178725.8413112818         62946771.26869393         126788103.4156138         54996975.20418249         -0.001164589747549355                          1.131331649114818e-07                          -0.00069632292175233                           2334.222935198341         
1577.354871820469         -0.3097743129474111       1068.033887357975         -0.840366681158502        -7.557962153215136e-05    1.344486787173802         0                         0                         0                         -76180.93819355898        327169.0013856051         178719.3330790473         62944936.29250941         126788850.3420655         54997299.04314441         -0.001118723987061389                          5.575348293267845e-09                          -0.0007578103132827259                         2401.953379658516         
1517.448659328817         -0.3138795559061691       1157.961642010254         -0.915023638544713        -4.482825285487269e-05    1.2907732684314           0                         0                         0                         -76249.58305715065        327153.7578852167         178712.7705748359         62943066.35487799         126789611.9814037         54997629.25924009         -0.001069588072402946                          -7.394264115539653e-08                         -0.0008166985923221592                         2470.185719593428         
1453.486555356532         -0.3159078020253219       1242.936422877247         -0.9852933540969498       -1.576537384134769e-05    1.233974834072046         0                         0                         0                         -76317.28436862239        327138.7124783597         178706.2920811198         62941184.0017014          126790379.5534572         54997962.04531964         -0.001018445839293256                          -9.08789660476733e-08                          -0.0008716030232098854                         2537.482788437046         
1385.615579981852         -0.3160451712319627       1323.182437171607         -1.051406842694076        1.152406785073778e-05     1.174205601263572         0                         0                         0                         -76384.31080704033        327123.805862117          178699.8721074141         62939327.18612944         126791136.5149875         54998290.23010837         -0.0009654707215381256                         -4.102493028904345e-08                         -0.0009227507921328052                         2604.111569817178         
1312.166089850565         -0.3143180264160037       1400.622612038424         -1.1149820555792          3.964435949568856e-05     1.110003030149441         0                         0                         0                         -76452.50119082259        327108.6289605136         178693.3344592741         62937486.96919458         126791885.5198886         54998614.96520846         -0.0009094377168323132                         4.663226852898483e-08                          -0.0009715151427824307                         2671.90000374103          
1230.200734117403         -0.310375337197911        1477.437568279973         -1.177826523007306        7.09831959375129e-05      1.038846276587403         0                         0                         0                         -76524.39716104732        327092.6148377383         178686.4347829226         62935612.19414469         126792646.9660749         54998945.09452713         -0.0008482124227383366                         1.32258698613193e-07                           -0.001019367298084984                          2743.375038192607         
1136.261357401992         -0.3034862470231019       1554.975796595216         -1.241044326223439        0.0001066661393239188     0.9578229759688341        0                         0                         0                         -76602.4945549565         327075.2048896539         178678.9321069692         62933633.15805621         126793449.2739223         54999292.93948073         -0.0007794044752621857                         1.896386015260704e-07                          -0.001067190813323356                          2821.018514467869         
1033.324591746117         -0.2933228740585037       1628.964807977289         -1.301165159199901        0.0001444156819258302     0.8695786138649715        0                         0                         0                         -76683.91436618159        327057.0381877809         178671.1015313569         62931486.73070415         126794321.5405983         54999671.11175623         -0.0007053289071218282                         2.011733565730734e-07                          -0.001112398027307212                          2901.968789531384         
926.753005020917          -0.2802545806625858       1695.10084174978          -1.354739898699831        0.0001812271420622014     0.7787106517058801        0                         0                         0                         -76764.59798700543        327039.0195316079         178663.3329753982         62929253.07638891         126795231.8476934         55000065.7724161          -0.0006298103826390053                         1.87808239476628e-07                           -0.001152417335429978                          2982.190842018463         
817.0420571069844         -0.2644192510633729       1753.37717862401          -1.401821436807018        0.000216546944163315      0.6855980666016621        0                         0                         0                         -76844.62262111425        327021.1320958679         178655.6192310639         62927039.43345043         126796133.9038798         55000456.85425645         -0.0005531422131622108                         1.760519940353259e-07                          -0.001187392009787714                          3061.76134214038          
704.9006449574081         -0.2460271815070882       1803.700339823496         -1.442385320795803        0.0002497397643999866     0.5907950583576647        0                         0                         0                         -76923.89669914856        327003.3967654525         178647.9693507609         62924843.85470652         126797028.6100512         55000844.74781293         -0.0004756631988074629                         1.606676703278922e-07                          -0.001217435735320818                          3140.589148015715         
593.115084805424          -0.2257388973957859       1845.351335688261         -1.475897724773766        0.0002796455319174218     0.4965978820032937        0                         0                         0                         -77000.91169739833        326986.1519095323         178640.5293822396         62922670.27314606         126797915.2602421         55001229.14641365         -0.0003991072065447287                         1.442586448116625e-07                          -0.001242170302368347                          3217.174029210582         
480.8307875835162         -0.2036434181500226       1879.228077030362         -1.503118508399204        0.0003062625828901544     0.4022236336985013        0                         0                         0                         -77076.69085194838        326969.169413454          178633.2010203882         62920557.56769112         126798776.4253218         55001602.49511055         -0.00032276617013369                           1.302694101073625e-07                          -0.001262174943421822                          3292.53327929182          
366.7251406313444         -0.1796589831355959       1905.937429358833         -1.524559992577638        0.0003298380156831482     0.3065106272159571        0                         0                         0                         -77152.4583334537         326952.1752858608         178625.8660699677         62918477.45820306         126799623.4978414         55001969.73315431         -0.0002456309575407724                         1.17589559122096e-07                           -0.001277852523150953                          3367.884207714815         
248.0460294621735         -0.1532814007950947       1925.823950644961         -1.54051659906641         0.0003512274417293848     0.2071115698554858        0                         0                         0                         -77230.29641180443        326934.7018995433         178618.3226304899         62916395.48577526         126800469.9684749         55002336.70956923         -0.0001657863933100994                         1.082522103386924e-07                          -0.001289427551953389                          3445.297775510699         
122.4672178141336         -0.1239187099854462       1938.383032706537         -1.550596780484484        0.00037147080119182       0.1020432576109266        0                         0                         0                         -77311.95960636783        326916.3536693995         178610.3997342615         62914254.81326768         126801339.1853364         55002713.54628535         -8.162401527123897e-05                         1.050157818713812e-07                          -0.0012966595714587                            3526.519335061312         
