Orbiter1.MoonInertial.X   Orbiter1.MoonInertial.Y   Orbiter1.MoonInertial.Z   Orbiter2.MoonInertial.X   Orbiter2.MoonInertial.Y   Orbiter2.MoonInertial.Z   Orbiter3.MoonInertial.X   Orbiter3.MoonInertial.Y   Orbiter3.MoonInertial.Z   
-4801.410423699839        -736.5586456142482        -1101.190665704227        -1415.260404780391        -5690.060843884887        -8498.29112525878         4706.23234946435          -3770.388204913179        -5630.679530175548        
-4822.745694707613        -771.3198724474641        -1153.127795014007        -1389.882024659659        -5694.997756032972        -8505.627958934521        4720.534280564083         -3749.748313706543        -5599.811713645351        
-4843.407263195026        -805.9733891904471        -1204.903871983523        -1364.481224070725        -5699.843900696374        -8512.828697916819        4734.686630743279         -3728.989967682865        -5568.766570363252        
-4863.407132168184        -840.5168357087532        -1256.515369046509        -1339.058443130823        -5704.599339027074        -8519.893433444377        4748.687718765199         -3708.112852895574        -5537.543634592119        
-4882.757038923635        -874.947996495699         -1307.958974704699        -1313.614120406433        -5709.264130988624        -8526.822254995262        4762.535840132972         -3687.116653802223        -5506.142438260809        
-4901.468460528384        -909.2647931062966        -1359.231582223496        -1288.148692947114        -5713.838335359236        -8533.615250291681        4776.22926663456          -3666.001053296728        -5474.562511013413        
-4919.552619323629        -943.4652769916574        -1410.330278926413        -1262.662596319118        -5718.322009735159        -8540.272505304951        4789.766245876948         -3644.765732744068        -5442.803380261728        
-4937.020488432958        -977.5476227133186        -1461.252336056612        -1237.156264638601        -5722.715210533701        -8546.794104259898        4803.145000809251         -3623.41037201666         -5410.864571240934        
-4953.882797258586        -1011.510121516709        -1511.995199175319        -1211.630130604681        -5727.017992996203        -8553.18012963963         4816.36372923461          -3601.934649533592        -5378.745607068733        
-4970.150036951163        -1045.351175244548        -1562.556479068502        -1186.084625532225        -5731.230411191122        -8559.430662189814        4829.420603310398         -3580.338242301892        -5346.446008808067        
-4985.832465840445        -1079.069290572079        -1612.933943134063        -1160.520179384315        -5735.35251801688         -8565.545780923188        4842.313769036497         -3558.620825960301        -5313.965295533708        
-5000.940114815909        -1112.663073547126        -1663.125507224177        -1134.937220804481        -5739.38436520478         -8571.52556312384         4855.041345731297         -3536.78207482578         -5281.302984402661        
-5015.482792647977        -1146.131224417419        -1713.129227917962        -1109.336177148783        -5743.326003321738        -8577.370084351278        4867.601425494999         -3514.821661942929        -5248.458590728784        
-5029.47009124163         -1179.472532731073        -1762.943295201112        -1083.717474517543        -5747.177481773018        -8583.079418444628        4879.992072659952         -3492.739259135909        -5215.43162806175         
-5042.911390815556        -1212.685872694594        -1812.566025530657        -1058.0815377869          -5750.938848804915        -8588.653637526673        4892.211323227733         -3470.534537063679        -5182.221608270629        
-5055.815865001132        -1245.770198774233        -1861.995855264075        -1032.42879064013         -5754.610151507368        -8594.092812007613        4904.257184292277         -3448.207165278262        -5148.828041631903        
-5068.192485856431        -1278.724541528558        -1911.231334432523        -1006.759655598813        -5758.191435816465        -8599.397010589077        4916.127633449098         -3425.756812286389        -5115.250436922885        
-5080.050028791084        -1311.548003658361        -1960.271120840305        -981.07455405363          -5761.682746516948        -8604.566300267645        4927.820618189813         -3403.18314561469         -5081.488301520119        
-5091.397077399059        -1344.239756263443        -2009.113974471984        -955.3739062951499        -5765.084127244598        -8609.600746338663        4939.334055281855         -3380.485831878206        -5047.54114150317         
-5102.242028196575        -1376.79903529404         -2057.758752191381        -929.6581315442745        -5768.39562048862         -8614.500412399706        4950.665830132668         -3357.664536853088        -5013.408461764338        
-5112.593095263597        -1409.225138187001        -2106.204402715986        -903.927647982593         -5771.617267593974        -8619.265360354038        4961.813796138202         -3334.71892555285         -4979.089766124176        
-5122.458314787029        -1441.517420676071        -2154.449961852224        -878.1828727824177        -5774.749108763586        -8623.895650413993        4972.77577401507          -3311.648662309453        -4944.584557453432        
-5131.845549505219        -1473.675293767883        -2202.494547977229        -852.4242221367895        -5777.791183060326        -8628.39134110423         4983.549551115968         -3288.453410857997        -4909.89233780143         
-5140.762493052884        -1505.698220873775        -2250.337357754266        -826.6521112892078        -5780.743528409395        -8632.752489264909        4994.132880727877         -3265.132834426535        -4875.012608531426        
-5149.216674206531        -1537.585715089226        -2297.977662068733        -800.8669545632147        -5783.606181600364        -8636.979150054831        5004.523481352531         -3241.686595830426        -4839.944870463107        
-5157.215461030544        -1569.337336613564        -2345.414802173065        -775.0691653918329        -5786.379178288917        -8641.071376954409        5014.719035968606         -3218.114357571932        -4804.688624022761        
-5164.766064924333        -1600.952690301521        -2392.648186029401        -749.259156346845         -5789.062552998948        -8645.02922176852         5024.71719127518          -3194.415781944699        -4769.243369401112        
-5171.875544571274        -1632.431423340517        -2439.677284839418        -723.4373391678382        -5791.656339124369        -8648.852734629414        5034.51555691578          -3170.590531144291        -4733.608606719848        
-5178.550809790511        -1663.773223046039        -2486.50162975103         -697.6041247912653        -5794.160568930965        -8652.541963999451        5044.111704682611         -3146.638267384085        -4697.783836206392        
-5184.798625292504        -1694.977814769372        -2533.120808732958        -671.7599233791843        -5796.575273558206        -8656.096956673689        5053.503167700212         -3122.558653017215        -4661.768558378069        
