Orbiter1.MoonInertial.X   Orbiter1.MoonInertial.Y   Orbiter1.MoonInertial.Z   Orbiter2.MoonInertial.X   Orbiter2.MoonInertial.Y   Orbiter2.MoonInertial.Z   Orbiter3.MoonInertial.X   Orbiter3.MoonInertial.Y   Orbiter3.MoonInertial.Z   Orbiter4.MoonInertial.X   Orbiter4.MoonInertial.Y   Orbiter4.MoonInertial.Z   Orbiter5.MoonInertial.X   Orbiter5.MoonInertial.Y   Orbiter5.MoonInertial.Z   Orbiter6.MoonInertial.X   Orbiter6.MoonInertial.Y   Orbiter6.MoonInertial.Z   Orbiter7.MoonInertial.X   Orbiter7.MoonInertial.Y   Orbiter7.MoonInertial.Z   Orbiter8.MoonInertial.X   Orbiter8.MoonInertial.Y   Orbiter8.MoonInertial.Z   
-3623.46001212782         442.2081723478623         660.078754125454          -5144.406330197045        -1516.627963286592        -2265.510616926331        1137.180399940044         -5735.821808185487        -8567.524161828391        318.458268948787          1448.89150678349          2164.167876723426         4501.482384515271         327.5505981358001         -489.5105725854228        4643.162800150589         3861.609359075374         -5768.471199493652        -5166.662809476475        1605.77943300613          -2398.501224940555        2175.04131711564          -1126.602239171509        1682.786469347397         
-3675.696004869227        406.8579747856129         607.2582272806903         -5152.725255911209        -1548.475919490156        -2313.083287861693        1162.757505418675         -5731.836949694727        -8561.546673783538        214.9051737182162         1452.572091896436         2169.653088289517         4531.593452066852         363.3313676490798         -542.9675818936666        4628.075605011298         3881.627542884613         -5798.376909686398        -5159.145918942129        1574.179119948589         -2351.289039040828        2257.512104835943         -1099.80409904191         1642.748491298931         
-3726.699360786282        371.3713836990646         554.2339993478381         -5160.591251609003        -1580.187878244265        -2360.452706616343        1188.316307903748         -5727.76178571186         -8555.433733273094        111.1410366626224         1454.827378860267         2173.008626240597         4560.87099006334          399.045259000035          -596.3247851472406        4612.84914216616          3901.528888886212         -5828.108139274671        -5151.181941576942        1542.442474365293         -2303.873039631202        2338.508734650284         -1072.28758304473         1601.637174685078         
-3776.490490653232        335.7640360875521         501.0294352140336         -5168.011477104359        -1611.763459372742        -2407.618302459072        1213.856378177967         -5723.596265171014        -8549.185264528234        7.267396342838765         1455.651174514787         2174.225249426585         4589.330434971387         434.6875239558285         -649.575087888923         4597.48493083856          3921.313695967605         -5857.665333994082        -5142.763685367056        1510.569886355021         -2256.253811083996        2418.022721930611         -1044.091038121842        1559.509809723473         
-3825.08982944228         300.0507693778491         447.6667050174437         -5174.992940777782        -1643.202324277663        -2454.57956678659         1239.377285702154         -5719.340335835528        -8542.801190049067        -96.61352009714756        1455.041216010868         2173.299589989008         4616.98690593346          470.25368402811           -702.7117986856319        4581.984470464464         3940.982261242752         -5887.048936928448        -5133.883802076933        1478.561790324107         -2208.432004020695        2496.048877847046         -1015.251884678437        1516.422302897641         
-3872.517785796546        264.2456561296713         394.1668360146286         -5181.542503396544        -1674.504173773224        -2501.336049886857        1264.878598583004         -5714.993944295158        -8536.281430600618        -200.3994421054667        1452.999195572571         2170.234190052026         4643.85520745143          505.7395163496258         -755.7286080260237        4566.349241059128         3960.534880034684         -5916.259388484206        -5124.534783211668        1446.418667417602         -2160.408338945446        2572.585060680067         -985.8065395136946        1472.429061726027         
-3918.794697175341        228.362038052117          340.5497634163185         -5187.666881839148        -1705.66874602891         -2547.887357867119        1290.359883540514         -5710.557035962935        -8529.625905208464        -303.9887010477833        1449.530740604794         2165.037471797492         4669.949832592712         541.1410402788897         -808.6195683055557        4550.580703575717         3979.971845859895         -5945.297126366582        -5114.708955880255        1414.141048081394         -2112.183610075532        2647.63193111385          -955.7903540415573        1427.582902382826         
-3963.940790203313        192.4125592083437         286.8343800102302         -5193.372652725462        -1736.695814618026        -2594.233149737789        1315.82070587523          -5706.0295550726          -8522.834531154687        -407.2808638420101        1444.645349895174         2157.723642057186         4695.284966646592         576.4545046982821         -861.379074847966         4534.680300256063         3999.293450413388         -5974.1625855577          -5104.39847855948         1381.729514763982         -2063.758689378941        2721.192713718381         -925.2375665307045        1381.934978271747         
-4007.976145780485        156.4091983136605         233.0385844272678         -5198.666255953533        -1767.585186664073        -2640.373134644033        1341.260629435128         -5701.41144467541         -8515.907223973161        -510.1773437480588        1438.356287888833         2148.312534361205         4719.874491165378         611.6763759735622         -914.0018479150021        4518.649454973696         4018.499983555346         -6002.856198296358        -5093.59533675811         1349.184704764455         -2015.134530831478        2793.272966399469         -894.1812670667423        1335.534727613791         
-4050.920668537743        120.3633000528207         179.179327942169          -5203.55399814526         -1798.3367010816          -2686.307069236937        1366.679216582372         -5696.702646636986        -8508.843897445302        -612.5819782802864        1430.680440046475         2136.829392906511         4743.731988331681         646.8033265426639         -966.4829156561755        4502.48957356943          4037.591733298381         -6031.378394059633        -5082.291338581374        1316.507313235488         -1966.31217490579         2863.880359205214         -862.6533739427105        1288.429838116572         
-4092.79406024862         84.28560536337318         125.2726597278961         -5208.042056001868        -1828.950226904766        -2732.034755177243        1392.076028159616         -5691.903101634467        -8501.644463595381        -714.4015656020201        1421.6381330929           2123.304604089586         4766.870745599459         681.8322241028072         -1018.817597952788        4486.202044179721         4056.56898579665          -6059.729599545914        -5070.478110196374        1283.698096350941         -1917.292753305228        2933.024463525551         -830.6846202136367        1240.666226836882         
-4133.615796835133        48.18628064729273         71.33377050826675         -5212.136479571447        -1859.425661700661        -2777.556036764552        1417.450623456258         -5687.012749153073        -8494.308832685841        -815.5463522654754        1411.252924520173         2107.773382085987         4789.303760562019         716.7601213663002         -1071.001491111412        4469.788237557819         4075.432025335263         -6087.910238659621        -5058.14709119912         1250.757874646166         -1868.077493957127        3000.716552412152         -798.3045492014498        1192.288033421442         
